Nome	Tipo	Descrição	
C03648.USER1 PANIFICADORA ART PAO	Usuário		
C03648.USER2 PANIFICADORA ART PAO	Usuário		
C03648.USER3 PANIFICADORA ART PAO	Usuário		
C03648.USER4 PANIFICADORA ART PAO	Usuário		
C03648.USER5 PANIFICADORA ARTPAO	Usuário		
C03920.USER1 GF INDUSTRIA	Usuário	GF INDUSTRIA	
C03920.USER2 GF INDUSTRIA	Usuário		
C03920.USER3 GF INDUSTRIA	Usuário		
C03921.USER1 METALTEC INDUSTRIA	Usuário		
C03921.USER2 METALTEC INDUSTRIA	Usuário		
C03922.USER1 MEGA OESTE	Usuário		
C03922.USER2 MEGA OESTE	Usuário		
C03922.USER3 MEGA OESTE	Usuário		
C03922.USER4 MEGA OESTE	Usuário		
C03922.USER5 MEGA OESTE	Usuário		
C03922.USER6 MEGA OESTE	Usuário		
C03922.USER7 MEGA OESTE	Usuário		
C04079.USER1 ANGEL	Usuário		
C04079.USER2 ANGEL	Usuário		
C04079.USER3 ANGEL	Usuário		
C04142.USER1 MUNDO BABY KIDS BARRA	Usuário		
C04142.USER2 MUNDO BABY KIDS BARRA	Usuário		
C04142.USER3 MUNDO BABY KIDS BARRA	Usuário		
C04142.USER4 MUNDO BABY KIDS BARRA	Usuário		
C04322.USER1 ELYTEC	Usuário		
C04322.USER2 ELYTEC	Usuário		
C04322.USER3 ELYTEC	Usuário		
C04322.USER4 ELYTEC	Usuário		
C04322.USER5 ELYTEC	Usuário		
C04467.USER1 CLINICA VIDA PET	Usuário		
C04467.USER4 CLINICA VIDA PET	Usuário		
C04467.USER5 CLINICA VIDA PET	Usuário		
C04831.USER1 MECATRONICA AUTOMACAO	Usuário		
C04893.USER1 LIMPIFIC	Usuário		
C04893.USER10 LIMPIFIC	Usuário		
C04893.USER11 LIMPIFIC	Usuário		
C04893.USER12 LIMPIFIC	Usuário		
C04893.USER13 LIMPIFIC	Usuário		
C04893.USER14 LIMPIFIC	Usuário		
C04893.USER15 LIMPIFIC	Usuário		
C04893.USER16 LIMPIFIC	Usuário		
C04893.USER17 LIMPIFIC	Usuário		
C04893.USER18 LIMPIFIC	Usuário		
C04893.USER2 LIMPIFIC	Usuário		
C04893.USER3 LIMPIFIC	Usuário		
C04893.USER4 LIMPIFIC	Usuário		
C04893.USER5 LIMPIFIC	Usuário		
C04893.USER6 LIMPIFIC	Usuário		
C04893.USER7 LIMPIFIC	Usuário		
C04893.USER8 LIMPIFIC	Usuário		
C04893.USER9 LIMPIFIC	Usuário		
C05254.USER1 EMPORIO ACABAMENTOS	Usuário		
C05254.USER2 EMPORIO ACABAMENTOS	Usuário		
C05254.USER3 EMPORIO ACABAMENTOS	Usuário		
C05254.USER4 EMPORIO ACABAMENTOS	Usuário		
C05254.USER5 EMPORIO ACABAMENTOS	Usuário		
C05254.USER6 EMPORIO ACABAMENTOS	Usuário		
C05281.USER1 ELETRO HELOY	Usuário		
C05281.USER2 ELETRO HELOY	Usuário		
C05281.USER3 ELETRO HELOY	Usuário		
C05464.USER1 CASA DAS TINTAS	Usuário		
C05464.USER2 CASA DAS TINTAS	Usuário		
C05464.USER3 CASA DAS TINTAS	Usuário		
C05464.USER4 CASA DAS TINTAS	Usuário		
C05464.USER5 CASA DAS TINTAS	Usuário		
C05464.USER6 CASA DAS TINTAS	Usuário		
C05464.USER7 CASA DAS TINTAS	Usuário		
C05464.USER8 CASA DAS TINTAS	Usuário		
C06047.USER1 CENTRO AUTOMOTIVO DOIS IRMAOS	Usuário		
C06047.USER2 CENTRO AUTOMOTIVO DOIS IRMAOS	Usuário		
C06047.USER3 CENTRO AUTOMOTIVO DOIS IRMAOS	Usuário		
C06350.USER1 CENTRALFLEX	Usuário		
C06350.USER2 CENTRALFLEX	Usuário		
C06597.USER1 RESTAURANTE P ESQUINAO	Usuário		
C06597.USER2 RESTAURANTE P ESQUINAO	Usuário		
C06597.USER3 RESTAURANTE P ESQUINAO	Usuário	RESTAURANTE P ESQUINAO	
C06663.USER1 QUERENCIA PLACAS	Usuário		
C06922.USER1 JAIME ALEVINOS	Usuário		
C06923.USER1 BEAUTE COSMETICOS	Usuário		
C06923.USER2 BEAUTE COSMETICOS	Usuário		
C06923.USER3 BEAUTE COSMETICOS	Usuário		
C06923.USER4 BEAUTE COSMETICOS	Usuário		
C06966.USER1 CARDOSO TRANSPORTES	Usuário		
C06966.USER2 CARDOSO TRANSPORTES	Usuário		
C07247.USER1 SERRANO MINERACAO	Usuário		
C07247.USER2 SERRANO MINERACAO	Usuário		
C07248.USER1 SERRANO TRANSPORTES	Usuário		
C07248.USER2 SERRANO TRANSPORTES	Usuário		
C07249.USER1 NUTRIFORTE	Usuário		
C07249.USER2 NUTRIFORTE	Usuário		
C07249.USER3 NUTRIFORTE	Usuário		
C07249.USER4 NUTRIFORTE	Usuário		
C07276.USER1	Usuário	FAZENDA NADIN	
C07276.USER3	Usuário	FAZENDA NADIN	
C07277.USER1	Usuário	FAZENDA NADIN	
C07277.USER2	Usuário	FAZENDA NADIN	
C07278.USER1	Usuário	FAZENDA NADIN	
C07424.USER1 SW DIESEL	Usuário		
C07424.USER2 SW DIESEL	Usuário		
C07424.USER3 SW DIESEL	Usuário		
C07523.USER1 POSTO TELESPIRES	Usuário		
C07563.USER1 CENTRAL MANGUEIRAS HIDRAULICAS	Usuário		
C07563.USER2 CENTRAL MANGUEIRAS HIDRAULICAS	Usuário		
C07563.USER3 CENTRAL MANGUEIRAS HIDRAULICAS	Usuário		
C07563.USER4 CENTRAL MANGUEIRAS HIDRAULICAS	Usuário		
C07563.USER5 CENTRAL MANGUEIRAS HIDRAULICAS	Usuário		
C07638.USER1 MOTOVALLE	Usuário		
C07638.USER2 MOTOVALLE	Usuário		
C07638.USER3 MOTOVALLE	Usuário		
C07638.USER4 MOTOVALLE	Usuário		
C07638.USER5 MOTOVALLE	Usuário		
C07756.USER1 METALURGICA W ROCHA	Usuário		
C07756.USER2 METALURGICA W ROCHA	Usuário		
C07936.USER1 J STORE	Usuário		
C07936.USER2 J STORE	Usuário		
C07936.USER3 J STORE	Usuário		
C08119.USER1 JS LRV COMERCIO DE GESSO E DRYWALL	Usuário		
C08119.USER10 JS LRV COMERCIO DE GESSO E DRYWALL	Usuário		
C08119.USER11 JS LRV COMERCIO DE GESSO E DRYWALL	Usuário		
C08119.USER2 JS LRV COMERCIO DE GESSO E DRYWALL	Usuário		
C08119.USER3 JS LRV COMERCIO DE GESSO E DRYWALL	Usuário		
C08119.USER4 JS LRV COMERCIO DE GESSO E DRYWALL	Usuário		
C08119.USER5 JS LRV COMERCIO DE GESSO E DRYWALL	Usuário		
C08119.USER6 JS LRV COMERCIO DE GESSO E DRYWALL	Usuário		
C08119.USER7 JS LRV COMERCIO DE GESSO E DRYWALL	Usuário		
C08119.USER8 JS LRV COMERCIO DE GESSO E DRYWALL	Usuário		
C08119.USER9 JS LRV COMERCIO DE GESSO E DRYWALL	Usuário		
C08185.USER1 EASY SOLUCOES	Usuário		
C08185.USER10 EASY SOLUCOES	Usuário		
C08185.USER11 EASY SOLUCOES	Usuário		
C08185.USER12 EASY SOLUCOES	Usuário		
C08185.USER13 EASY SOLUCOES	Usuário		
C08185.USER14 EASY SOLUCOES	Usuário		
C08185.USER2 EASY SOLUCOES	Usuário		
C08185.USER3 EASY SOLUCOES	Usuário		
C08185.USER4 EASY SOLUCOES	Usuário		
C08185.USER5 EASY SOLUCOES	Usuário		
C08185.USER6 EASY SOLUCOES	Usuário		
C08185.USER7 EASY SOLUCOES	Usuário		
C08185.USER8 EASY SOLUCOES	Usuário		
C08185.USER9 EASY SOLUCOES	Usuário		
C08206.USER1 BRITO ATACADO	Usuário		
C08206.USER2 BRITO ATACADO	Usuário		
C08206.USER3 BRITO ATACADO	Usuário		
C08206.USER4 BRITO ATACADO	Usuário		
C08206.USER5 BRITO ATACADO	Usuário		
C08322.USER1 GRANMARMO	Usuário		
C08322.USER2 GRANMARMO	Usuário		
C08322.USER3 GRANMARMO	Usuário		
C08322.USER4 GRANMARMO	Usuário		
C08322.USER5 GRANMARMO	Usuário		
C08322.USER6 GRANMARMO	Usuário		
C08322.USER7 GRANMARMO	Usuário		
C08482.USER1 GARCIA TRANSPORTES	Usuário		
C08482.USER2 GARCIA TRANSPORTES	Usuário		
C08520.USER1 GSUCHO AUTO ELETRICA	Usuário		
C08520.USER2 GSUCHO AUTO ELETRICA	Usuário		
C08520.USER3 GSUCHO AUTO ELETRICA	Usuário		
C08675.USER1 AUTO ELETRICA CABIXI	Usuário		
C08675.USER2 AUTO ELETRICA CABIXI	Usuário		
C08771.USER1 ELETRO HELOY	Usuário		
C08771.USER2 ELETRO HELOY	Usuário		
C08771.USER3 ELETRO HELOY	Usuário		
C08771.USER4 ELETRO HELOY	Usuário		
C08771.USER5 ELETRO HELOY	Usuário		
C08809.USER1 AK DISTRIBUIDORA DE COMPONENTES	Usuário		
C08809.USER10 AK DISTRIBUIDORA DE COMPONENTES	Usuário		
C08809.USER11 AK DISTRIBUIDORA DE COMPONENTES	Usuário		
C08809.USER12 AK DISTRIBUIDORA DE COMPONENTES	Usuário		
C08809.USER2 AK DISTRIBUIDORA DE COMPONENTES	Usuário		
C08809.USER3 AK DISTRIBUIDORA DE COMPONENTES	Usuário		
C08809.USER4 AK DISTRIBUIDORA DE COMPONENTES	Usuário		
C08809.USER5 AK DISTRIBUIDORA DE COMPONENTES	Usuário		
C08809.USER6 AK DISTRIBUIDORA DE COMPONENTES	Usuário		
C08809.USER7 AK DISTRIBUIDORA DE COMPONENTES	Usuário		
C08809.USER8 AK DISTRIBUIDORA DE COMPONENTES	Usuário		
C08809.USER9 AK DISTRIBUIDORA DE COMPONENTES	Usuário		
C08848.USER1 BY DAIANE MABEL	Usuário		
C08848.USER2 BY DAIANE MABEL	Usuário		
C08856.USER1 TRANSPORTADORA TRANS SCARPATT	Usuário		
C08856.USER2 TRANSPORTADORA TRANS SCARPATT	Usuário		
C08946.USER1 WG INDUSTRIA E COMERCIO	Usuário		
C08946.USER2 WG INDUSTRIA E COMERCIO	Usuário		
C08976.USER1 TORQUE TRATORES	Usuário		
C08976.USER2 TORQUE TRATORES	Usuário		
C08976.USER3 TORQUE TRATORES	Usuário		
C08976.USER4 TORQUE TRATORES	Usuário		
C08976.USER5 TRATORES TORQUE	Usuário		
C08976.USER6 TORQUE TRATORES	Usuário		
C08976.USER7 TORQUE TRATORES	Usuário		
C08976.USER8 TORQUE TRATORES	Usuário		
C08991.USER1 WEVERTON AUTO ELETRICA	Usuário		
C08991.USER2 WEVERTON AUTO ELETRICA	Usuário		
C08991.USER3 WEVERTON AUTO ELETRICA	Usuário		
C09082.USER1 HIDRAULICA LEAL	Usuário		
C09149.USER1 MUNDO BABY KIDS TGA	Usuário		
C09149.USER2 MUNDO BABY KIDS TGA	Usuário		
C09149.USER3 MUNDO BABY KIDS TGA	Usuário		
C09149.USER4 MUNDO BABY KIDS TGA	Usuário		
C09149.USER5 MUNDO BABY KIDS TGA	Usuário		
C09156.USER1 RADIACAR	Usuário		
C09319.USER1 CONCREUNIAO	Usuário		
C09319.USER2 CONCREUNIAO	Usuário		
C09319.USER3 CONCREUNIAO	Usuário		
C09319.USER4 CONCREUNIAO	Usuário		
C09319.USER5 CONCREUNIAO	Usuário		
C09319.USER6 CONCREUNIAO	Usuário		
C09361.USER1 CAMARAS E PNEUS	Usuário		
C09361.USER10 CAMARAS E PNEUS	Usuário		
C09361.USER11 CAMARAS E PNEUS	Usuário		
C09361.USER2 CAMARAS E PNEUS	Usuário		
C09361.USER3 CAMARAS E PNEUS	Usuário		
C09361.USER4 CAMARAS E PNEUS	Usuário		
C09361.USER5 CAMARAS E PNEUS	Usuário		
C09361.USER6 CAMARAS E PNEUS	Usuário		
C09361.USER7 CAMARAS E PNEUS	Usuário		
C09361.USER8 CAMARAS E PNEUS	Usuário		
C09361.USER9 CAMARAS E PNEUS	Usuário		
C09388.USER1 CASA DAS BATERIAS	Usuário		
C09388.USER2 CASA DAS BATERIAS	Usuário		
C09388.USER3 CASA DAS BATERIAS	Usuário		
C09388.USER4 CASA DAS BATERIAS	Usuário		
C09388.USER5 CASA DAS BATERIAS	Usuário		
C09388.USER6 CASA DAS BATERIAS	Usuário		
C09433.USER1 UGGERI SERVICOS	Usuário		
C09633.USER1	Usuário	VOVO ARCONDICIONADO	
C09687.USER1 MECANICA SÃO CRISTOVAO	Usuário		
C09687.USER2 MECANICA SÃO CRISTOVAO	Usuário		
C09687.USER3 MECANICA SÃO CRISTOVAO	Usuário		
C09687.USER4 MECANICA SÃO CRISTOVAO	Usuário		
C09687.USER5 MECANICA SÃO CRISTOVAO	Usuário		
C09687.USER6 MECANICA SÃO CRISTOVAO	Usuário		
C09687.USER7 MECANICA SÃO CRISTOVAO	Usuário		
C09687.USER8 MECANICA SÃO CRISTOVAO	Usuário		
C09687.USER9 MECANICA SÃO CRISTOVAO	Usuário		
C09689.USER1	Usuário	NUTRIFIT	
C09689.USER2	Usuário	NUTRIFIT	
C09821.USER1	Usuário	PET SHOPPET SHOP BICHINHO	
C09821.USER2	Usuário	PET SHOPPET SHOP BICHINHO	
C09835.USER1	Usuário	NORTAO	
C09857.USER1	Usuário	MEGA MOVEIS	
C09857.USER2	Usuário	MEGA MOVEIS	
C09857.USER3	Usuário	MEGA MOVEIS	
C09883.USER1 AUTO PORTAS SERVICOS E ACESSORIOS	Usuário		
C09939.USER1	Usuário	ELETROCELL	
C09956.USER1	Usuário	OBELA POR KTHRIN	
C09980.USER1	Usuário	FARFALHA	
C09980.USER2	Usuário	FARFALHA	
C10041.USER1	Usuário	HR1 PECAS E SERVICOS	
