tgaMobileRT.exe: 000014F0: 17:04:32 []:>--------------------------------------------------------------<
tgaMobileRT.exe: 000014F0: 17:04:32 [TuSM]:Server First Init.
tgaMobileRT.exe: 000014F0: 17:04:32 [TuSM]:Start Path = C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\
tgaMobileRT.exe: 000014F0: 17:04:33 [TuSM]:Starting HTTP Server on Port: 8080...
tgaMobileRT.exe: 000014F0: 17:04:33 [TuSM]:HTTP Server Started on Port: 8080
tgaMobileRT.exe: 00003A20: 17:04:33 [Requested Theme File not found:]:C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\css\uni-xtheme-classic.modified.css
tgaMobileRT.exe: 00003A20: 17:04:33 []:TUniThemeProps: File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\css\uni-xtheme-classic.modified.css
tgaMobileRT.exe: 00003A20: 17:04:33 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\css\uni-ext.css
tgaMobileRT.exe: 00005CD0: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\classic\theme-classic\resources\theme-classic-all.css
tgaMobileRT.exe: 00003454: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-awesome-4.7.0\resources\font-awesome-all.css
tgaMobileRT.exe: 000030F0: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.css
tgaMobileRT.exe: 00000FB4: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.draw.css
tgaMobileRT.exe: 000044C0: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-pictos\resources\font-pictos-all.css
tgaMobileRT.exe: 00004B70: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-awesome\resources\font-awesome-all.css
tgaMobileRT.exe: 00005620: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\sweetalert2.min.css
tgaMobileRT.exe: 0000585C: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\unisweetalert2.css
tgaMobileRT.exe: 0000232C: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\dist\toasty.css
tgaMobileRT.exe: 00004600: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\assets\style.css
tgaMobileRT.exe: 00004E94: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\assets\toasty-custom-styles.css
tgaMobileRT.exe: 000032F0: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\css\uni-xtheme-common.css
tgaMobileRT.exe: 00002D28: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\leaflet-text-icon.css
tgaMobileRT.exe: 000020D0: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\ext-all.js
tgaMobileRT.exe: 00001F3C: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\classic\theme-classic\theme-classic.js
tgaMobileRT.exe: 00004424: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\ext-unicommon-min.js
tgaMobileRT.exe: 00001980: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\ext-sync-min.js
tgaMobileRT.exe: 00002A38: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\classic\locale\locale-pt_BR.js
tgaMobileRT.exe: 00005E48: 17:04:34 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\jQuery\jquery-1.11.2.min.js
tgaMobileRT.exe: 000057E0: 17:04:35 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\jQuery\MaskedInput\jquery.inputmask.min.js
tgaMobileRT.exe: 0000255C: 17:04:35 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\jQuery\autoNumeric\autoNumeric-1.9.35.js
tgaMobileRT.exe: 000020D4: 17:04:35 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.js
tgaMobileRT.exe: 00004638: 17:04:35 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.draw.js
tgaMobileRT.exe: 00005EF4: 17:04:35 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\ext-treenode-plugin.js
tgaMobileRT.exe: 00003468: 17:04:35 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\ux\classic\ux.js
tgaMobileRT.exe: 00001C98: 17:04:35 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\sweetalert2.min.js
tgaMobileRT.exe: 00005D6C: 17:04:35 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\Leaflet.GoogleMutant.js
tgaMobileRT.exe: 00005C34: 17:04:35 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\ext-unigui-min.js
tgaMobileRT.exe: 000059A8: 17:04:35 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\leaflet-text-icon.js
tgaMobileRT.exe: 00002C5C: 17:04:35 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\dist\toasty.js
tgaMobileRT.exe: 00005870: 17:04:50 [Requested Theme File not found:]:C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\css\uni-xtheme-classic.modified.css
tgaMobileRT.exe: 00005870: 17:04:50 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\css\uni-ext.css
tgaMobileRT.exe: 00003AD4: 17:04:50 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\classic\theme-classic\resources\theme-classic-all.css
tgaMobileRT.exe: 00004344: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-awesome-4.7.0\resources\font-awesome-all.css
tgaMobileRT.exe: 00003BDC: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-awesome\resources\font-awesome-all.css
tgaMobileRT.exe: 00000620: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.draw.css
tgaMobileRT.exe: 00001FAC: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\unimap\leaflet.css
tgaMobileRT.exe: 00004668: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\ext\build\packages\font-pictos\resources\font-pictos-all.css
tgaMobileRT.exe: 00005F00: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\sweetalert2.min.css
tgaMobileRT.exe: 000050E0: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\uni\sweetalert\unisweetalert2.css
tgaMobileRT.exe: 000015D0: 17:04:51 [HandleFileRequest[127.0.0.1]]:File not found: C:\Users\ANDERSON.SOUZA\Desktop\ANDERSON\anderson\Mobile\files\js\toasty\dist\toasty.css
